date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:29:58	124104/124104	---M-Z	200	added ('OK')	application/javascript	etag:%221e4c8-5bda744710940-gzip%22	https://crsorgi.gov.in/web/js/jquery-1.5.1.js	C:/My%20Web%20Sites/JJ/crsorgi.gov.in/web/js/jquery-1.5.1.js	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:29:58	25189/25189	---M-Z	200	added ('OK')	application/javascript	etag:%226265-5bda744710940-gzip%22	https://crsorgi.gov.in/web/js/jquery.validate.js	C:/My%20Web%20Sites/JJ/crsorgi.gov.in/web/js/jquery.validate.js	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:29:59	3716/3716	---M-Z	200	added ('OK')	application/javascript	etag:%22e84-5bda74461c700-gzip%22	https://crsorgi.gov.in/web/js/base64EncodeDecode.js	C:/My%20Web%20Sites/JJ/crsorgi.gov.in/web/js/base64EncodeDecode.js	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:30:01	52981/52981	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Sep%202023%2010:20:08%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/logo-top.jpg	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/logo-top.jpg	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:30:02	4497/4497	---M--	200	added ('OK')	image/gif	date:Mon,%2011%20Sep%202023%2010:20:08%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/emb-forms.gif	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/emb-forms.gif	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:30:03	167/167	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Feb%202023%2006:52:10%20GMT	https://crsorgi-gov.co/web/barcode.png	C:/My%20Web%20Sites/JJ/crsorgi-gov.co/web/barcode.png	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/B/bWF4VExRZc9GTnhBwkhtZTNrdWhUZz09?id=NTY4MzE=%3D%3D%)
09:30:03	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jan%202024%2004:00:06%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/header-top-strip.jpg	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/header-top-strip.jpg	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/style.css)
09:30:03	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jan%202024%2004:00:06%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/herader-right-bg.jpg	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/herader-right-bg.jpg	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/style.css)
09:30:04	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jan%202024%2004:00:06%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/top-menu-bg.jpg	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/top-menu-bg.jpg	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/style.css)
09:30:04	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2005%20Jan%202024%2004:00:07%20GMT	https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/top-title-strip.jpg	C:/My%20Web%20Sites/JJ/crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/images/top-title-strip.jpg	(from https://crsorgi.gov.in.web.index.php.auth.viewcert.info/birthCertificate/view/css/style.css)
